word,freq
norte,2168
tirar,2168
wagner,2167
significa,2163
negócios,2162
conjunto,2161
resultados,2161
apresentou,2160
comum,2159
juízes,2158
vontade,2156
bernardo,2148
vale,2145
visão,2138
companhia,2136
dúvida,2133
atividade,2131
criminal,2130
força-tarefa,2130
aponta,2129
transportes,2128
emprego,2127
infraestrutura,2123
procuradoria-geral,2116
agricultura,2115
clima,2115
investigado,2115
distrito,2114
conteúdo,2112
cumprir,2112
espera,2111
entrou,2109
investigar,2109
responder,2109
especialmente,2108
revelou,2108
tenta,2104
acusados,2102
oportunidade,2101
alianças,2099
parceria,2092
representa,2091
divulgação,2089
motivo,2088
reuniões,2088
código,2087
semanas,2084
mostrou,2082
patrimônio,2082
divulgada,2079
antônio,2075
completou,2073
aberto,2070
maranhão,2070
manutenção,2067
entender,2063
queremos,2060
financeiro,2055
institucional,2055
ouvir,2055
diretoria,2054
pereira,2054
comentar,2051
teixeira,2050
reformas,2049
lewandowski,2048
empreiteiras,2046
regra,2046
ferreira,2044
grave,2043
tom,2039
haverá,2037
partidário,2037
revista,2037
impacto,2036
explicou,2035
acima,2033
levy,2030
instância,2027
argumento,2024
enfrentar,2023
decidir,2022
militantes,2021
chalita,2018
dito,2018
entidades,2018
núcleo,2017
diversos,2014
financeira,2012
últimas,2010
erro,2009
considerado,2005
transporte,2005
improbidade,1999
entendimento,1995
mídia,1995
aumentar,1994
criminosa,1989
nomeação,1986
reação,1983
executiva,1977
mensagem,1975
aconteceu,1974
quebra,1974
precisamos,1970
urnas,1968
conseguir,1967
investimento,1964
taxa,1964
bbc,1963
delcídio,1962
pré-candidato,1961
chamou,1955
posto,1954
sobretudo,1953
técnico,1952
mesa,1951
existência,1948
diversas,1947
distribuição,1946
natural,1945
favorável,1943
experiência,1942
suplicy,1942
começa,1936
despesas,1936
horário,1931
ganhou,1930
ocorre,1928
nordeste,1925
amigos,1924
apresentado,1922
diferença,1922
foco,1918
bastante,1916
governar,1916
construir,1914
escritório,1913
negociações,1913
interior,1909
eua,1908
twitter,1908
cita,1906
desvio,1906
juros,1906
alencar,1905
autorização,1900
assuntos,1898
queria,1895
quis,1892
anistia,1891
caráter,1889
desempenho,1889
maluf,1889
meta,1889
acabar,1888
postura,1888
perfil,1881
sucesso,1881
vídeo,1877
dono,1872
rodrigues,1869
eleita,1868
realizado,1867
produção,1866
ex-prefeito,1865
melhorar,1864
suposto,1863
mpf,1860
dívida,1859
souza,1858
princípio,1857
teori,1857
veio,1857
presidentes,1851
direta,1847
fundação,1847
pimentel,1846
autoridade,1843
deputada,1841
carreira,1835
cerimônia,1835
cartel,1833
confirmou,1832
pinheiro,1832
usado,1832
expressão,1831
institucionais,1830
