word,freq
grandes,3624
participou,3613
guerra,3611
anterior,3607
doleiro,3607
chamado,3605
ex-deputado,3598
belo,3582
declarou,3579
jornalistas,3579
humanos,3571
condenação,3570
aliado,3565
bahia,3565
imagem,3564
órgãos,3562
programas,3549
igreja,3548
levar,3527
despesas,3522
existe,3513
garantir,3513
pedidos,3507
logo,3504
devido,3491
próximos,3485
declarações,3482
erro,3480
mello,3478
lewandowski,3469
empresários,3463
carvalho,3458
declaração,3453
fazendo,3453
passar,3448
muitos,3440
claro,3434
psol,3433
juízes,3432
alencar,3431
cardoso,3431
formação,3424
levou,3420
somente,3417
sair,3412
energia,3403
pressão,3394
cúpula,3382
legislação,3379
vitória,3378
sim,3376
empreiteira,3372
organização,3365
transportes,3363
uol,3350
minutos,3349
expectativa,3346
membros,3345
único,3338
tão,3326
carta,3323
futuro,3315
escolha,3312
sentido,3305
decisões,3294
registro,3289
ruas,3285
sexta,3280
dívida,3273
rádio,3273
data,3266
entrar,3257
conforme,3244
falcão,3242
campo,3241
investigado,3237
representantes,3233
pauta,3226
áreas,3225
movimentos,3225
direção,3222
vários,3222
estaduais,3217
horizonte,3214
governos,3193
delcídio,3188
gomes,3188
edição,3185
licitação,3180
depoimentos,3178
brazil,3175
norte,3170
determinou,3168
referência,3168
contrário,3167
necessidade,3166
crédito,3161
trabalhar,3159
intenções,3158
realizada,3144
dizendo,3143
nessa,3142
collor,3138
machado,3134
série,3134
cardozo,3126
prevê,3113
metrô,3110
completou,3108
senhor,3096
militares,3095
semanas,3089
média,3088
levantamento,3085
linha,3082
bolsa,3074
alguém,3062
russomanno,3061
criar,3059
aponta,3049
maiores,3043
fizeram,3041
índice,3037
aparece,3036
souza,3036
agentes,3033
revelou,3033
suspeitas,3029
vargas,3024
internacionais,3020
informa,3017
terceiro,3017
feitos,3016
alexandre,3014
vaga,3013
função,3012
anunciou,3010
legislativa,3008
visita,3006
modelo,3005
aprovada,3003
fotos,2996
maneira,2994
ptb,2994
fhc,2991
única,2976
coisas,2975
mercadante,2974
desvio,2968
entrou,2964
completa,2960
analisar,2955
divulgação,2955
questões,2955
teori,2955
algum,2950
decidir,2949
golpe,2947
salários,2946
escândalo,2942
fiscais,2940
pimentel,2938
querem,2938
financiamento,2934
necessário,2933
operações,2933
respondeu,2933
muita,2932
réu,2932
continuar,2931
ferreira,2925
assumiu,2921
senadora,2917
aliada,2916
jorge,2916
marta,2916
mudar,2916
desses,2910
apuração,2909
popular,2903
prefeitos,2902
real,2901
atualmente,2900
ambos,2897
eleitor,2891
apurou,2889
município,2888
stj,2884
governadores,2882
cumprir,2881
usado,2880
usar,2877
rodrigues,2875
previsão,2869
indícios,2868
multa,2867
ficha,2862
assessores,2861
atividades,2859
ataques,2857
cabe,2854
combate,2854
cnj,2853
terra,2845
escritório,2844
amanhã,2839
serem,2838
envolvendo,2833
difícil,2832
pps,2831
amigo,2830
quadrilha,2830
quero,2828
judicial,2826
representação,2814
material,2813
caminho,2811
investigados,2811
aconteceu,2805
principalmente,2805
imposto,2800
disputar,2796
mostrou,2795
grupos,2794
emendas,2792
razão,2786
audiência,2784
adversários,2780
bernardo,2775
preços,2773
mulheres,2770
conhecido,2769
procuradoria-geral,2766
reajuste,2764
maranhão,2761
mesa,2761
policial,2761
planejamento,2760
companhia,2758
pt-sp,2757
origem,2756
legal,2752
possa,2749
saiu,2746
bens,2745
algo,2743
mão,2743
viagem,2743
tese,2740
suposto,2733
tomar,2724
perda,2722
jogo,2714
citou,2711
adversário,2709
constitucional,2706
ocasião,2703
jucá,2701
limpa,2701
sei,2693
genoino,2692
sergio,2691
acusados,2689
código,2685
confirmou,2683
realização,2683
quebra,2682
versão,2680
alguma,2679
setores,2678
espécie,2675
instituição,2674
acima,2667
dado,2667
voltar,2667
ambiente,2665
meta,2665
pmdb-al,2665
horário,2664
cultura,2657
tratamento,2657
aprovar,2656
contudo,2656
assessor,2654
vereador,2654
liminar,2652
mantega,2649
provisória,2641
iniciativa,2640
portanto,2637
entidade,2635
wagner,2635
argentina,2634
conversas,2634
post,2630
pib,2629
antônio,2623
disseram,2621
apresentado,2619
conhecimento,2618
coligação,2608
homem,2605
aprovou,2604
confiança,2603
indústria,2603
tratar,2603
atrás,2600
camargo,2600
índios,2598
passa,2598
via,2596
aberto,2593
pai,2593
seguida,2593
salvador,2589
contato,2588
considerado,2583
muitas,2583
argumento,2582
colocar,2581
ministérios,2581
mim,2578
nacionais,2576
apoiar,2575
trata,2569
famílias,2568
transporte,2563
haver,2561
tenta,2561
representa,2556
seguinte,2556
abrir,2547
compromisso,2545
executivos,2542
petróleo,2539
nove,2537
patrimônio,2534
carro,2528
influência,2525
ribeiro,2525
filhos,2522
recife,2522
tribunais,2522
delator,2514
mundial,2513
impacto,2512
pereira,2506
diálogo,2505
perdeu,2505
contou,2504
afirmam,2502
empreiteiras,2498
quis,2498
fundação,2493
ajuda,2490
haverá,2487
instituições,2486
avião,2480
licitações,2479
benefício,2478
zero,2477
cerimônia,2475
deputada,2475
manutenção,2475
posto,2472
custo,2471
nordeste,2470
andré,2468
temas,2467
financeira,2461
gilmar,2457
deus,2454
maluf,2450
tendo,2447
publicação,2445
conteúdo,2441
divulgado,2440
agricultura,2435
disponível,2434
pec,2434
divulgou,2433
continua,2432
greve,2430
cobertura,2426
investimento,2426
ajuste,2423
interesses,2421
margem,2417
entrada,2413
administrativa,2412
esquerda,2409
dono,2408
responder,2400
várias,2400
santa,2399
professor,2396
chamada,2392
tentou,2392
produção,2391
frança,2387
liderança,2387
entendimento,2386
investiga,2386
água,2382
new,2380
ajudar,2378
bancos,2377
luís,2377
tom,2374
pra,2373
forças,2372
cerveró,2370
espera,2367
desvios,2366
envolvidos,2361
santana,2358
interior,2354
instância,2352
universidade,2345
motivo,2344
royalties,2341
sindicato,2335
diversos,2334
episódio,2334
decreto,2330
chamou,2326
entidades,2325
torno,2325
dito,2323
interno,2323
previdência,2323
infraestrutura,2318
filha,2315
santo,2313
ouvir,2311
municipais,2309
ônibus,2309
andrade,2308
negócios,2307
foro,2304
reduzir,2301
prb,2299
regra,2297
diretamente,2296
indicado,2290
presentes,2290
york,2288
trabalhos,2287
prédio,2286
financeiro,2285
violência,2282
queria,2274
capacidade,2273
aurélio,2271
colegas,2267
fazem,2266
distribuição,2263
tomada,2263
oas,2260
diário,2258
vieira,2258
deixa,2257
atividade,2256
autorização,2256
demóstenes,2254
negociação,2254
ana,2251
vereadores,2249
reuniu,2248
mensagem,2246
feliciano,2244
médico,2244
usou,2243
procurado,2241
redes,2238
metade,2237
penas,2237
veículos,2236
has,2232
pará,2232
matéria,2230
realizado,2229
eventos,2228
prova,2228
poderes,2227
alegre,2225
ganhou,2225
dirigentes,2224
certo,2221
ocorre,2221
diferentes,2219
diversas,2218
gurgel,2213
assinantes,2212
mal,2211
apurar,2210
teto,2208
disposição,2207
tirar,2203
congressistas,2202
coordenador,2202
médicos,2199
turismo,2199
not,2197
responsáveis,2194
preocupação,2193
assinaturas,2190
quadro,2190
previsto,2188
artigo,2184
indígenas,2184
jurídica,2183
seguir,2183
zavascki,2183
comitê,2179
negócio,2178
impedir,2175
últimas,2175
definir,2174
interna,2174
blog,2172
tramitação,2171
considera,2170
abaixo,2169
aumentar,2169
permite,2169
pgr,2165
tre,2165
reuniões,2163
soares,2157
urnas,2157
livre,2149
mídia,2149
resultados,2148
técnico,2147
irmão,2144
percentuais,2144
corpo,2143
vale,2143
alto,2141
dificuldades,2140
benefícios,2139
amigos,2138
fará,2137
diretoria,2135
escreveu,2135
ocorrer,2135
grosso,2134
rocha,2132
militantes,2129
parece,2129
pedindo,2126
júnior,2125
pinheiro,2125
unidos,2122
mãos,2121
ganhar,2118
votações,2117
avenida,2115
presente,2115
brazilian,2111
pezão,2110
exercício,2108
favorável,2108
pré-candidato,2107
eleita,2099
manteve,2099
mato,2099
preço,2098
times,2098
interino,2096
delegado,2093
espanha,2092
podemos,2092
transparência,2091
apontou,2090
oab,2084
ccj,2081
grave,2081
prestar,2081
nomeação,2079
chegaram,2078
demissão,2076
trecho,2076
obter,2074
bilhão,2073
enviado,2072
unidade,2071
conjunto,2069
vetos,2063
familiares,2061
refinaria,2061
ilegal,2059
aposentadoria,2057
dessas,2057
iria,2056
desempenho,2055
marcada,2055
diretório,2053
mineiro,2053
citado,2051
classe,2049
investigadores,2049
morto,2047
lobista,2044
emprego,2042
assuntos,2038
efeito,2037
pior,2033
obteve,2032
suplicy,2032
pago,2029
diferente,2028
caiu,2024
imagens,2022
perder,2022
articulação,2020
colegiado,2018
percentual,2014
rejeição,2012
acidente,2009
bancas,2008
válidos,2008
assine,2003
diferença,2003
was,2003
jamais,2002
ligação,2e3
rural,2e3
condição,1999
votou,1999
veto,1994
recorrer,1992
suíça,1992
presidentes,1991
comissões,1989
detalhes,1989
poderão,1989
novamente,1988
negociações,1987
apartamento,1984
conseguir,1984
abriu,1983
apontado,1983
cartel,1982
mantém,1982
mst,1982
prometeu,1982
acontecer,1979
prestação,1978
consultoria,1975
vantagem,1975
votado,1974
coluna,1973
anastasia,1970
rui,1970
brasilia,1969
bndes,1968
veio,1966
magistrados,1965
importantes,1964
mostrar,1961
estrutura,1958
afastado,1957
fux,1953
vara,1952
corrêa,1948
jovens,1945
nelson,1944
técnica,1943
parceria,1942
suposta,1942
tal,1942
participaram,1940
palavra,1938
venda,1938
paes,1937
augusto,1936
perguntas,1936
franco,1935
márcio,1932
estaria,1930
itália,1922
procedimento,1922
convite,1921
destacou,1921
arrecadação,1920
incluindo,1917
segue,1917
convocação,1916
criminal,1916
clima,1915
ameaça,1914
departamento,1913
ceará,1911
controlada,1909
autor,1904
toffoli,1903
divisão,1899
cgu,1898
primeiros,1897
from,1896
receberam,1894
afirmar,1891
foto,1891
nível,1883
ligado,1880
institucionais,1879
enviou,1876
fechado,1873
limite,1873
posso,1873
atenção,1872
entrega,1870
moura,1870
números,1870
haviam,1867
locais,1865
conclusão,1861
pagou,1860
verba,1859
considerou,1858
curso,1854
dívidas,1851
teixeira,1851
queremos,1847
carreira,1846
terras,1846
oficialmente,1844
entregue,1842
this,1842
significa,1840
natural,1839
chalita,1838
andamento,1836
exército,1836
liberação,1835
queiroz,1835
vivo,1832
branco,1831
homens,1831
washington,1828
derrota,1827
fiscalização,1827
renato,1826
partidária,1823
anteriores,1822
gleisi,1822
lúcia,1821
polêmica,1820
terem,1820
fraude,1819
abreu,1816
começa,1816
pacote,1816
pastor,1816
verbas,1816
publicado,1815
delatores,1813
apresentada,1811
oficiais,1811
técnicos,1811
ideli,1809
televisão,1802
repasses,1799
faria,1798
enfrentar,1797
acordos,1796
execução,1796
empréstimos,1794
ligados,1792
acontece,1791
aberta,1788
prevista,1788
realizar,1787
corrida,1784
correio,1776
will,1770
would,1770
psdb-mg,1767
entregar,1766
crítica,1765
acabar,1763
definição,1763
cláudio,1761
baiano,1759
aeroporto,1757
acha,1755
sabia,1755
especialmente,1754
medo,1753
acusou,1752
completo,1752
título,1751
certeza,1748
requerimento,1748
apreensão,1746
its,1745
goiás,1743
existência,1742
morreu,1741
jornalismo,1740
sessões,1740
assinado,1738
construtora,1737
manifestar,1736
suspensão,1736
tecnologia,1736
pergunta,1735
admitiu,1734
comum,1734
perfil,1733
doação,1730
julgado,1730
lideranças,1730
mandatos,1726
nascimento,1726
ausência,1725
ex-prefeito,1724
talvez,1724
delta,1723
martins,1723
produtores,1723
precisam,1722
conduta,1719
fundamental,1719
qualidade,1719
caráter,1718
cid,1718
vaccari,1718
avalia,1716
telefone,1714
começar,1713
esperar,1713
jornada,1713
reunir,1713
expressão,1710
entender,1708
naquele,1708
terceira,1708
contratação,1707
executiva,1705
julgar,1701
casas,1700
ex-senadora,1698
histórico,1698
inquéritos,1698
clara,1696
afirmando,1692
solução,1690
apresentação,1689
presidenciável,1689
bastidores,1688
privado,1688
dúvida,1684
ouvidos,1684
ressaltou,1683
mãe,1682
pizzolato,1680
debates,1679
jurídico,1679
ficaram,1678
concessão,1677
categoria,1674
criminosa,1673
reação,1672
inicialmente,1671
amaral,1669
araújo,1669
chega,1669
livro,1669
explicar,1664
institucional,1662
agu,1659
cliente,1659
condução,1659
determina,1659
concorrer,1657
psc,1656
renúncia,1656
governistas,1655
rosa,1655
paga,1654
avaliar,1653
agnelo,1650
engenharia,1649
mostram,1647
professores,1647
explicou,1646
braziliense,1645
cabeça,1645
foco,1644
lupi,1643
reportagens,1643
inicial,1642
ibope,1639
reino,1639
levado,1638
cedo,1637
eleitos,1634
richa,1633
mandado,1632
testemunhas,1632
lembrou,1628
punição,1625
trabalha,1625
presidenciais,1623
propinas,1623
baixo,1620
construir,1620
continuidade,1620
direta,1619
duque,1618
funcionário,1618
are,1616
transferência,1616
unido,1612
viagens,1612
delúbio,1610
cita,1609
garotinho,1608
gasto,1605
buscar,1602
mendonça,1602
poucos,1599
recebe,1599
vagas,1599
eleitorado,1598
vontade,1598
ampliar,1597
importância,1596
pleito,1596
questionou,1595
vítima,1593
cofres,1592
convenção,1592
brasileiras,1591
-mail,1591
cumprimento,1589
desembargador,1589
tomou,1589
comparação,1585
bastante,1584
suspeitos,1582
poderiam,1581
visto,1580
gob,1579
colaboração,1578
próximas,1578
autoridade,1575
criada,1575
ensino,1575
hipótese,1575
magistrado,1575
bairro,1573
oportunidade,1573
skaf,1572
comércio,1571
privilegiado,1570
dificuldade,1567
escola,1562
fachin,1561
tendência,1561
experiência,1560
resolução,1553
moreira,1551
erenice,1548
ocorrido,1548
contribuição,1547
esforço,1547
ouviu,1545
impostos,1544
acompanhar,1543
classificou,1543
diretora,1541
sentença,1540
peemedebistas,1539
votaram,1539
imóvel,1535
levy,1535
palavras,1535
momentos,1534
postura,1532
presidenta,1530
cara,1529
espírito,1528
sucesso,1528
abuso,1527
sócio,1527
bloco,1526
atuar,1524
cidadão,1524
afastada,1523
ciro,1523
possam,1521
prejuízo,1521
marcado,1520
pessoais,1520
recente,1520
regimento,1520
dizia,1519
mensagens,1517
motivos,1517
moradores,1516
peça,1516
leva,1515
absolutamente,1511
acredita,1511
trânsito,1511
regiões,1510
democrático,1509
roriz,1509
passaram,1508
plebiscito,1508
criado,1506
fazia,1505
resolver,1505
servidor,1505
princípio,1504
escolhido,1503
usada,1503
anúncio,1500
indicar,1500
aceitar,1498
china,1498
modo,1497
have,1496
ocupar,1494
começo,1492
improbidade,1490
orientação,1489
precisamos,1487
competência,1486
lançar,1486
mandados,1486
comercial,1485
mônica,1485
realidade,1485
colega,1484
esporte,1484
revisão,1484
juntos,1483
mudou,1482
edita,1481
inclui,1481
ativa,1480
residência,1479
delações,1477
painel,1474
prisões,1474
citados,1471
luz,1471
representante,1471
folhauol,1469
acusa,1467
edson,1465
suspeito,1465
acrescentou,1464
efeitos,1464
cujo,1463
operador,1463
recesso,1463
ampla,1462
financeiras,1461
resistência,1461
administrativo,1459
carros,1459
fechar,1458
atender,1457
candidaturas,1457
promotor,1456
funai,1455
partidário,1455
dada,1453
nunes,1453
baixa,1452
prioridade,1452
juventude,1451
falando,1450
atuou,1449
conflito,1449
ante,1447
viu,1447
solidariedade,1446
unidades,1446
máximo,1445
esclarecimentos,1443
jogos,1441
permitir,1441
eventuais,1438
reformas,1437
encontrar,1436
anistia,1435
possíveis,1435
notícia,1434
federação,1433
jefferson,1432
registrou,1432
subiu,1432
conversar,1431
semestre,1430
visão,1430
barroso,1429
passiva,1428
concluiu,1426
funções,1426
marca,1426
tornou,1425
brazils,1424
campinas,1424
entregou,1423
repasse,1420
afirmaram,1419
ficará,1419
existem,1416
